image,pattern,psnr
0114x2.png,random,21.864529
0114x2.png,legendre,21.818563
0115x2.png,box,27.372026
0115x2.png,random,27.313961
0115x2.png,legendre,27.443901
0116x2.png,box,21.06144
0116x2.png,random,22.094498
0116x2.png,legendre,22.015646
0117x2.png,box,21.63108
0117x2.png,random,20.831964
0117x2.png,legendre,21.74158
0118x2.png,box,23.345833
0118x2.png,random,25.267696
0118x2.png,legendre,24.208519
0119x2.png,box,22.065878
0119x2.png,random,21.76205
0119x2.png,legendre,21.77058
0120x2.png,box,23.505571
0120x2.png,random,22.669497
0120x2.png,legendre,22.961271
0121x2.png,box,21.834492
0121x2.png,random,22.68285
0121x2.png,legendre,21.253624
0122x2.png,box,19.705687
0122x2.png,random,22.053366
0122x2.png,legendre,21.859612
0123x2.png,box,23.674225
0123x2.png,random,25.407637
0123x2.png,legendre,25.127146
0124x2.png,box,26.627148
0124x2.png,random,27.77992
0124x2.png,legendre,26.7433
0125x2.png,box,21.308544
0125x2.png,random,22.31675
0125x2.png,legendre,22.865238
0126x2.png,box,22.065094
0126x2.png,random,22.583227
0126x2.png,legendre,23.426495
0127x2.png,box,22.389467
0127x2.png,random,21.96471
0127x2.png,legendre,22.582241
0128x2.png,box,23.190813
0128x2.png,random,23.44794
0128x2.png,legendre,23.452229
0129x2.png,box,20.961933
0129x2.png,random,21.593664
0129x2.png,legendre,22.161785
0130x2.png,box,21.17202
0130x2.png,random,20.789558
0130x2.png,legendre,21.693785
0131x2.png,box,22.656996
0131x2.png,random,22.671436
0131x2.png,legendre,21.902693
0132x2.png,box,20.422564
0132x2.png,random,21.393707
0132x2.png,legendre,20.318531
0133x2.png,box,21.353012
0133x2.png,random,23.017824
0133x2.png,legendre,21.86798
0134x2.png,box,21.57542
0134x2.png,random,21.029781
0134x2.png,legendre,21.526068
0135x2.png,box,20.530811
0135x2.png,random,22.661497
0135x2.png,legendre,21.535414
0136x2.png,box,21.83807
0136x2.png,random,21.606842
0136x2.png,legendre,21.206013
0137x2.png,box,21.325598
0137x2.png,random,23.475616
0137x2.png,legendre,23.417376
0138x2.png,box,23.034077
0138x2.png,random,22.726215
0138x2.png,legendre,22.308105
0139x2.png,box,21.6062
0139x2.png,random,22.69892
0139x2.png,legendre,22.963255
0140x2.png,box,20.80673
0140x2.png,random,20.651686
0140x2.png,legendre,22.005203
0141x2.png,box,23.554918
0141x2.png,random,23.401375
0141x2.png,legendre,24.49446
0142x2.png,box,22.141083
0142x2.png,random,23.539776
0142x2.png,legendre,22.804443
0143x2.png,box,22.037533
0143x2.png,random,22.33899
0143x2.png,legendre,22.815874
0144x2.png,box,20.043407
0144x2.png,random,22.098621
0144x2.png,legendre,22.803352
0145x2.png,box,21.778975
0145x2.png,random,21.660446
0145x2.png,legendre,21.811722
0146x2.png,box,22.326653
0146x2.png,random,21.829876
0146x2.png,legendre,22.73824
0147x2.png,box,20.318672
0147x2.png,random,20.82565
0147x2.png,legendre,20.629696
0148x2.png,box,20.648386
0148x2.png,random,22.175722
0148x2.png,legendre,22.088337
0149x2.png,box,20.697515
0149x2.png,random,21.012165
0149x2.png,legendre,21.283936
0150x2.png,box,23.427279
0150x2.png,random,22.51686
0150x2.png,legendre,21.753796
0151x2.png,box,20.960651
0151x2.png,random,21.091585
0151x2.png,legendre,21.283504
0152x2.png,box,23.121595
0152x2.png,random,23.733791
0152x2.png,legendre,22.494413
0153x2.png,box,21.305532
0153x2.png,random,20.628576
0153x2.png,legendre,21.309015
0154x2.png,box,21.727047
0154x2.png,random,21.91882
0154x2.png,legendre,21.151394
0155x2.png,box,24.062654
0155x2.png,random,25.317646
0155x2.png,legendre,24.972906
0156x2.png,box,21.7889
0156x2.png,random,22.736063
0156x2.png,legendre,22.776796
0157x2.png,box,23.098707
0157x2.png,random,22.986774
0157x2.png,legendre,23.257017
0158x2.png,box,21.1907
0158x2.png,random,21.766405
0158x2.png,legendre,21.902721
0159x2.png,box,21.707153
0159x2.png,random,21.088215
0159x2.png,legendre,21.469643
0160x2.png,box,20.73189
0160x2.png,random,21.648226
